BARÈME DE CORRECTION — PHILOSOPHIE TERMINALE — BACCALAURÉAT,,,,
"Grille analytique construite à partir des attendus officiels de l'épreuve de philosophie. Le candidat choisit entre deux sujets de dissertation et une explication de texte.
 La notation est globale sur 20 : les sous-critères ci-dessous servent à homogénéiser la correction et ne constituent pas un barème national obligatoire.",,,,
2,"Travail conceptuel approfondi : définitions opératoires, distinctions rigoureuses et évolution maîtrisée du sens des termes.",,,
3. Discussion des thèses et des arguments,,,,"— /1,5"
"0–0,5",Affirmations non justifiées ; thèses simplement juxtaposées.,,,
"0,75",Arguments présents mais discussion limitée.,,,
1,"Thèses examinées, objections prises en compte et réponses argumentées.",,,
"1,5","Véritable dialogue de la réflexion avec elle-même : examen critique des arguments, objections sérieuses et réponses justifiées.",,,
4. Exemples et expériences de pensée,,,,"— /0,5"
0,"Exemples absents, anecdotiques ou sans fonction argumentative.",,,
"0,25",Quelques exemples pertinents mais peu analysés.,,,
"0,5","Exemples précisément étudiés, utilisés comme instruments de réflexion et non comme simple illustration.",,,
C. Culture philosophique et références,,,,— /3
1. Mobilisation des auteurs et doctrines,,,,"— /1,5"
"0–0,5","Références absentes, erronées ou plaquées.",,,
"0,75",Références pertinentes mais doctrine ou argument insuffisamment expliqué.,,,
1,Auteurs et thèses correctement mobilisés au service du sujet.,,,
"1,5","Références précises et diversifiées, expliquées et intégrées organiquement à la démonstration.",,,
2. Pertinence de la culture philosophique,,,,"— /1,5"
"0–0,5",Accumulation de noms ou citations sans fonction philosophique.,,,
"0,75",Quelques références utiles mais traitement superficiel.,,,
1,Culture philosophique solide et pertinente.,,,
"1,5","Culture philosophique mobilisée avec discernement : les références éclairent réellement le problème, les concepts et les arguments.",,,
D. Maîtrise de l'exercice et composition,,,,— /3
1. Introduction,,,,"— /1,5"
"0–0,5",Introduction très lacunaire : sujet mal posé ou problème absent.,,,
"0,75",Introduction correcte mais problématisation ou annonce de la démarche insuffisante.,,,
1,"Introduction structurée : analyse du sujet, problème et orientation de la réflexion.",,,
"1,5",Introduction très maîtrisée : elle construit véritablement le problème et donne une nécessité au développement.,,,
2. Développement et transitions,,,,— /1
"0–0,25",Développement désordonné ou simplement descriptif.,,,
"0,5",Organisation identifiable mais progression irrégulière.,,,
"0,75","Paragraphes structurés, transitions logiques et progression cohérente.",,,
1,Composition très rigoureuse : chaque partie constitue une étape nécessaire de la réflexion.,,,
3. Conclusion,,,,"— /0,5"
0,Absente ou ne répond pas au problème.,,,
"0,25",Bilan présent mais réponse vague ou insuffisamment justifiée.,,,
"0,5","Conclusion synthétique, répondant explicitement et philosophiquement au problème construit.",,,
E. Expression et présentation,,,,— /3
1. Clarté et correction de l'expression,,,,— /2
"0–0,5",Expression souvent incorrecte ou difficilement compréhensible.,,,
1,Expression globalement compréhensible mais maladroite ou imprécise.,,,
"1,5",Expression claire et correcte ; vocabulaire philosophique maîtrisé.,,,
2,"Expression très claire, précise et rigoureuse ; formulations philosophiques maîtrisées.",,,
2. Présentation et lisibilité,,,,— /1
"0–0,25",Copie difficile à lire ou très mal organisée.,,,
"0,5",Présentation correcte mais parfois confuse.,,,
"0,75","Copie lisible, paragraphes et structure clairement identifiables.",,,
1,Présentation particulièrement claire : elle rend immédiatement visible la progression du raisonnement.,,,
PARTIE II — EXPLICATION DE TEXTE,,,,20 points
A. Compréhension globale et détermination du problème,,,,— /4
1. Problème philosophique du texte,,,,— /2
"0–0,5",Problème absent ou contresens sur le texte.,,,
1,Question générale identifiée mais problème encore approximatif.,,,
"1,5",Problème clairement formulé à partir de la démarche de l'auteur.,,,
2,"Détermination précise du problème : question, difficulté et enjeu du texte clairement reconstruits.",,,
2. Thèse et position de l'auteur,,,,— /2
"0–0,5",Thèse non identifiée ou attribuée à tort à l'auteur.,,,
1,Thèse générale comprise mais formulation imprécise.,,,
"1,5",Thèse correctement formulée et reliée au problème.,,,
2,"Position philosophique précisément caractérisée, avec ses conditions, nuances et portée.",,,
B. Explication précise et linéaire du texte,,,,— /7
1. Explication des éléments signifiants,,,,— /3
0–1,"Paraphrase, répétition du texte ou explication très lacunaire.",,,
"1,5",Éléments importants expliqués mais plusieurs passages restent superficiels.,,,
2,"Explication précise des concepts, propositions et formulations essentielles.",,,
"2,5",Attention soutenue au détail du texte ; concepts et formulations expliqués avec précision.,,,
3,"Explication fine et exhaustive des éléments signifiants, sans paraphrase ni contresens.",,,
2. Articulations logiques et structure du texte,,,,— /2
"0–0,5",Structure du raisonnement non identifiée.,,,
1,Quelques étapes du raisonnement repérées mais liens insuffisamment expliqués.,,,
"1,5",Articulations logiques correctement identifiées et explicitées.,,,
2,"Cheminement rigoureux : chaque étape, transition, opposition, implication ou conséquence est mise en évidence.",,,
3. Reconstruction du raisonnement,,,,— /2
"0–0,5",Suite d'explications isolées sans reconstruction de la démarche.,,,
1,Raisonnement globalement compris mais reconstruction incomplète.,,,
"1,5",Arguments et étapes correctement reconstruits.,,,
2,"Démonstration de l'auteur reconstruite avec précision : raisons, objections, présupposés et conclusions clairement reliés.",,,
C. Analyse philosophique et mise en perspective,,,,— /4
1. Analyse conceptuelle,,,,— /2
"0–0,5",Concepts simplement répétés ou définis de façon extérieure au texte.,,,
1,Quelques concepts analysés correctement.,,,
"1,5",Concepts et distinctions du texte précisément expliqués.,,,
2,Analyse conceptuelle fine : le sens des notions est reconstruit à partir du texte et de ses articulations.,,,
2. Mise en perspective et discussion,,,,— /2
"0–0,5",Références ou discussion hors sujet ; récitation de cours.,,,
1,Quelques rapprochements pertinents mais peu développés.,,,
"1,5",Mise en perspective utile pour éclairer le problème et la thèse.,,,
2,"Discussion rigoureuse et subordonnée à l'explication : comparaison, objection ou autre perspective servant à mieux comprendre la position de l'auteur.",,,
D. Fidélité au texte et absence de contresens,,,,— /2
"0–0,5",Contresens importants ou interprétation imposée de l'extérieur.,,,
1,Compréhension globalement correcte mais plusieurs interprétations fragiles.,,,
"1,5",Interprétation fidèle et justifiée par le texte.,,,
2,Lecture extrêmement attentive : aucune thèse étrangère n'est attribuée à l'auteur et chaque interprétation importante est fondée sur le texte.,,,
E. Maîtrise de l'exercice,,,,— /1
"0–0,25",Réponse ne réalisant pas réellement une explication de texte.,,,
"0,5",Explication commencée mais maladroite ou inaboutie.,,,
"0,75",Explication structurée et attentive au texte.,,,
1,"Exercice parfaitement maîtrisé : explication centrée sur le texte, progressive et organisée autour de son mouvement philosophique.",,,
F. Expression et présentation,,,,— /2
1. Clarté et correction de l'expression,,,,"— /1,5"
"0–0,5",Expression difficilement compréhensible ou très incorrecte.,,,
"0,75",Expression compréhensible mais plusieurs maladresses.,,,
1,Expression claire et correcte.,,,
"1,5","Expression très claire, précise et rigoureuse.",,,
2. Lisibilité et présentation,,,,"— /0,5"
"0–0,25",Présentation rendant l'explication difficile à suivre.,,,
"0,5",Présentation lisible et structure permettant de suivre le raisonnement.,,,
BARÈME SYNTHÉTIQUE,,,,
Exercice,Critère,Points,Nature de l'attendu,
Dissertation,Problématisation et compréhension du sujet,5,"Analyse des termes, problème, délimitation et traitement du sujet",
Dissertation,Argumentation et raisonnement philosophique,6,"Démonstration, concepts, discussion des thèses, exemples",
Dissertation,Culture philosophique et références,3,"Auteurs, doctrines et références au service du problème",
Dissertation,Maîtrise de l'exercice et composition,3,"Introduction, développement, transitions, conclusion",
Dissertation,Expression et présentation,3,"Clarté, correction, vocabulaire, lisibilité",
Explication de texte,Compréhension globale et problème,4,Problème et thèse de l'auteur,
Explication de texte,Explication précise et linéaire,7,"Éléments signifiants, articulations logiques, raisonnement",
Explication de texte,Analyse philosophique et mise en perspective,4,"Concepts, discussion et perspectives",
Explication de texte,Fidélité au texte,2,Absence de contresens et interprétation fondée,
Explication de texte,Maîtrise de l'exercice,1,Explication centrée sur le texte,
Explication de texte,Expression et présentation,2,"Clarté, correction et lisibilité",
,,,,
"⚠️ IMPORTANT — L'évaluation officielle de philosophie est globale et utilise tout l'éventail des notes de 0 à 20. Les attendus officiels ne fixent pas un découpage national obligatoire des 20 points entre introduction, connaissances, concepts, etc. Cette grille est donc une grille analytique de correction : elle permet d'homogénéiser l'évaluation sans prétendre reproduire un barème national sous-critère par sous-critère. En philosophie, la réflexion, la problématisation, l'analyse conceptuelle, l'argumentation et la qualité de l'explication sont évaluées dans leur ensemble.",,,,
