BARÈME DE CORRECTION — HGGSP TERMINALE — BACCALAURÉAT,,,,
"Grille analytique construite à partir des attendus officiels de l'épreuve HGGSP. À compter de la session 2026 : 
dissertation /10 + étude critique de document(s) /10.
0,Présentation rendant la lecture difficile.,,,
"0,25","Présentation lisible, paragraphes et organisation clairement identifiables.",,,
BARÈME SYNTHÉTIQUE,,,,
Exercice,Critère,Points,Nature de l'attendu,
Dissertation,Compréhension et traitement du sujet,2,"Analyse du sujet, problématique, réponse au sujet",
Dissertation,Maîtrise et sélection des connaissances,"2,5","Exactitude, précision et pertinence des connaissances",
Dissertation,Construction de la démonstration,3,"Plan, argumentation, analyse, exemples",
Dissertation,Maîtrise de l'exercice,"1,5","Introduction, développement, conclusion",
Dissertation,Expression et présentation,1,"Rédaction, vocabulaire, lisibilité",
Dissertation,Production graphique,Valorisation,"Illustration facultative : croquis, schéma, etc.",
Étude critique,Compréhension et problématisation,"1,5",Comprendre la consigne et construire une problématique,
Étude critique,Analyse du/des document(s),"2,5","Comprendre, sélectionner, hiérarchiser et expliciter",
Étude critique,Regard critique,"2,5","Contexte, portée, limites, biais, point de vue",
Étude critique,Connaissances personnelles,"1,5","Éclairer, compléter ou relativiser le document",
Étude critique,Organisation de l'exercice,1,"Introduction, paragraphes, conclusion",
Étude critique,Expression et présentation,1,"Rédaction, vocabulaire, lisibilité",
,,,,
"⚠️ IMPORTANT — La note de service applicable à partir de la session 2026 fixe deux exercices de 10 points : une dissertation et une étude critique d'un ou deux documents. Elle définit les compétences attendues mais ne fournit pas un découpage national obligatoire des 10 points en sous-critères. Cette grille est donc une grille analytique de correction pour homogénéiser les notes, pas un barème officiel publié sous cette forme.",,,,
