NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — SES TERMINALE — BACCALAURÉAT,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
"1,5","Analyse précise : termes définis, bornes du sujet maîtrisées, enjeux et portée clairement identifiés.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Problématique,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absente ou sans rapport avec le sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Simple reformulation de la question.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Questionnement pertinent faisant apparaître un enjeu ou une tension.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Problématique précise, pertinente et réellement directrice de la démonstration.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Réponse au sujet,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Hors-sujet ou réponse très éloignée de la question.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Réponse partielle ou irrégulièrement centrée sur le sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Démonstration constamment centrée sur la question posée et réponse explicite.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Maîtrise des connaissances,,,,— /5,,,,,,,,,,,,,,,,,,,,,,,,,
1. Exactitude et maîtrise des notions,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Connaissances très faibles ou nombreuses erreurs ; notions mal définies.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Connaissances correctes mais parfois générales ou imprécises.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Connaissances solides ; notions correctement définies et mécanismes globalement maîtrisés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Connaissances précises, nombreuses et parfaitement maîtrisées ; vocabulaire économique et sociologique rigoureux.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Pertinence et richesse des connaissances,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Connaissances rares, superficielles ou peu liées au sujet.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Connaissances pertinentes mais limitées ; plusieurs dimensions du sujet restent peu exploitées.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Connaissances solides, variées et bien reliées aux arguments.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Connaissances nombreuses, précises, pertinentes et mobilisées au service de la démonstration.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Mobilisation du dossier documentaire,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Documents ignorés ou simplement cités.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Documents exploités de façon partielle ; quelques données utiles.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Documents correctement sélectionnés et reliés aux arguments.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Documents exploités précisément et intelligemment ; données utilisées comme preuves, sans paraphrase.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Construction du raisonnement,,,,— /6,,,,,,,,,,,,,,,,,,,,,,,,,
1. Pertinence et cohérence du plan,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Plan artificiel, déséquilibré ou peu lié à la problématique.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Plan cohérent mais progression ou articulation imparfaite.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Plan logique, équilibré et adapté au sujet.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Plan particulièrement pertinent : progression démonstrative, parties complémentaires, aucune répétition.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Argumentation et mécanismes,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Juxtaposition de connaissances, affirmations peu expliquées ou récitation du cours.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Raisonnement présent mais irrégulier ; certains mécanismes sont expliqués.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,Argumentation claire ; mécanismes correctement explicités et reliés au sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"2,5",Argumentation solide ; chaque idée est démontrée par une explication et une illustration pertinentes.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
3,Démonstration maîtrisée et convaincante : idée → mécanisme → exemple/donnée → lien explicite avec le sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Transitions et cohérence interne,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Enchaînement difficile à suivre ; ruptures ou contradictions.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Liens entre les idées présents mais parfois faibles.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Transitions logiques et démonstration globalement fluide.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Progression parfaitement lisible ; chaque partie et sous-partie prépare logiquement la suivante.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Maîtrise de l'exercice,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
1. Introduction,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Introduction très lacunaire ou problématique absente/inadaptée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Introduction correcte mais incomplète.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Introduction structurée et fonctionnelle.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Introduction très maîtrisée, concise et directement utile à la démonstration.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Conclusion,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Conclusion absente, très faible ou sans réponse au sujet.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Bilan présent mais réponse partielle ou peu précise.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Réponse claire à la problématique et bilan correct.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Réponse précise, synthétique et cohérente avec toute la démonstration.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Expression et présentation,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
1. Qualité rédactionnelle,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Expression souvent incorrecte ou difficilement compréhensible.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Expression compréhensible mais plusieurs maladresses ou erreurs.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Expression correcte et vocabulaire disciplinaire globalement maîtrisé.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Expression claire, précise, fluide et rigoureuse.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Présentation,,,,"— /0,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Lisibilité ; paragraphes ; séparation claire des parties ; copie permettant au correcteur de suivre le raisonnement. La présentation facilite l'évaluation mais ne compense pas un fond insuffisant.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTIE II — ÉPREUVE COMPOSÉE,,,,20 points,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Partie 1 — Mobilisation des connaissances,,,,— /4,,,,,,,,,,,,,,,,,,,,,,,,,
1. Partie 1 — Mobilisation des connaissances,,,,— /4,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Réponse très incomplète ; notions mal maîtrisées ou mécanismes absents.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,Quelques connaissances pertinentes ; explication partielle.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
3,Réponse correcte et structurée ; notions et mécanismes bien mobilisés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"3,5","Très bonne réponse ; connaissances précises, mécanismes clairement expliqués.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
4,"Réponse complète et rigoureuse : notions définies, mécanismes expliqués, argumentation ordonnée et exemples pertinents lorsque nécessaires.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Partie 2 — Étude d'un document,,,,— /6,,,,,,,,,,,,,,,,,,,,,,,,,
1. Lecture et interprétation des données,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Lecture erronée ou absence d'utilisation des données.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Lecture correcte mais incomplète ; quelques données pertinentes.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Données correctement lues et comparées ; calculs nécessaires maîtrisés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Réponse précise et rigoureuse : unités, périodes, grandeurs et évolutions correctement interprétées ; calculs pertinents.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Analyse à l'aide du document et des connaissances,,,,— /4,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Réponse très générale ; document peu exploité et connaissances insuffisantes.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,Document exploité mais connaissances ou mécanismes encore limités.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
3,Document et connaissances correctement articulés ; réponse argumentée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
4,"Analyse complète : données précisément mobilisées, mécanismes expliqués et connaissances personnelles pertinentes ; aucune paraphrase.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Partie 3 — Raisonnement s'appuyant sur un dossier documentaire,,,,— /10,,,,,,,,,,,,,,,,,,,,,,,,,
1. Compréhension et traitement du sujet,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Sujet mal compris ou réponse partiellement hors sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Sujet compris mais problématique ou angle de traitement peu clair.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Sujet correctement analysé et réponse centrée sur la question.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Sujet parfaitement compris ; problématique/fil directeur pertinent et démonstration constamment centrée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Mobilisation des connaissances,,,,"— /2,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Connaissances très faibles ou erreurs importantes.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Connaissances correctes mais limitées.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Connaissances solides et pertinentes.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,Connaissances nombreuses et bien reliées aux arguments.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"2,5","Maîtrise excellente : notions, mécanismes, données et exemples précis, directement utiles au raisonnement.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Exploitation du dossier documentaire,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Documents ignorés, cités sans exploitation ou paraphrasés.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Quelques documents correctement mobilisés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Documents sélectionnés et utilisés comme preuves à l'appui des arguments.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Dossier pleinement exploité : données/informations hiérarchisées, précises et intégrées au raisonnement sans commentaire systématique.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Construction du raisonnement,,,,"— /2,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Juxtaposition d'informations ; absence de démonstration.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Raisonnement présent mais irrégulier.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Argumentation claire ; idées et mécanismes correctement articulés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,Démonstration solide ; arguments hiérarchisés et exemples/données bien exploités.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
