,"1,5",Représentation correcte et adaptée à la situation.,FALSE,,FALSE,,FALSE,
,2,"Représentation précise et soignée, choisie à bon escient pour éclairer le raisonnement.",FALSE,,FALSE,,FALSE,
4. Raisonner,— /3,,FALSE,,FALSE,,FALSE,
,0–1,"Raisonnement absent, incohérent ou contredit par le résultat obtenu.",FALSE,,FALSE,,FALSE,
,"1,5",Raisonnement engagé mais lacunaire ; certaines étapes non justifiées.,FALSE,,FALSE,,FALSE,
,2,"Raisonnement globalement cohérent et correctement justifié, une imprécision possible.",FALSE,,FALSE,,FALSE,
,3,"Raisonnement rigoureux et complet, chaque étape justifiée, conclusion cohérente avec la démarche.",FALSE,,FALSE,,FALSE,
5. Calculer,— /3,,FALSE,,FALSE,,FALSE,
,0–1,Calculs faux ou méthode de calcul inadaptée ; résultats incohérents.,FALSE,,FALSE,,FALSE,
,"1,5","Calculs partiellement corrects, quelques erreurs ou méthode approximative.",FALSE,,FALSE,,FALSE,
,2,"Calculs corrects dans l'ensemble, méthode adaptée, résultat cohérent.",FALSE,,FALSE,,FALSE,
,3,"Calculs exacts, méthode efficace et rigoureuse, résultat vérifié ou mis en perspective.",FALSE,,FALSE,,FALSE,
6. Communiquer,— /2,,FALSE,,FALSE,,FALSE,
,"0–0,5",Rédaction absente ou incompréhensible ; résultat donné sans aucune explication.,FALSE,,FALSE,,FALSE,
,1,Explications présentes mais formulation maladroite ou notations imprécises.,FALSE,,FALSE,,FALSE,
,"1,5","Rédaction claire, notations mathématiques correctes.",FALSE,,FALSE,,FALSE,
,2,"Rédaction rigoureuse et bien structurée, vocabulaire et notations précis, réponse clairement mise en évidence.",FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
"💡 À adapter par exercice — Le sujet comporte 2 à 3 exercices indépendants pour un total de 14 points, avec un barème propre à chaque exercice selon les notions testées. 
Dupliquez cette grille par compétence (Chercher, Modéliser, Représenter, Raisonner, Calculer, Communiquer) 
pour chaque exercice du bac blanc, en réajustant les points maximum de chaque compétence pour qu'ils totalisent le barème réel de l'exercice 
(les valeurs ci-dessus — 2/2/2/3/3/2 — sont une répartition indicative par défaut).",,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
Vérification du barème (indicatif),,,FALSE,,FALSE,,FALSE,
Chercher,2,,FALSE,,FALSE,,FALSE,
Modéliser,2,,FALSE,,FALSE,,FALSE,
Représenter,2,,FALSE,,FALSE,,FALSE,
Raisonner,3,,FALSE,,FALSE,,FALSE,
Calculer,3,,FALSE,,FALSE,,FALSE,
Communiquer,2,,FALSE,,FALSE,,FALSE,
Sous-total Partie 2 (exercices),14,Doit être égal à 14,FALSE,,FALSE,,FALSE,
Partie 1 (QCM automatismes),6,,FALSE,,FALSE,,FALSE,
TOTAL ÉPREUVE,20,Doit être égal à 20,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
"⚠️ IMPORTANT — Contrairement aux dissertations de philosophie ou de français, le contenu mathématique des exercices change à chaque sujet de bac blanc : 
cette grille propose un cadre de compétences stable (le référentiel national chercher / modéliser / représenter / raisonner / calculer / communiquer) 
mais les points par compétence doivent être réajustés par le correcteur en fonction du barème réel de chaque exercice proposé.",,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
,,,FALSE,,FALSE,,FALSE,
