NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — SPÉCIALITÉ MATHÉMATIQUES — TERMINALE,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
2,"Démarche de recherche pertinente, plusieurs éléments de l'énoncé exploités correctement.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
3,"Recherche autonome et efficace, stratégie pertinente adoptée y compris sur les questions ouvertes ou à prise d'initiative.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Modéliser,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Situation non traduite en objet mathématique, ou traduction erronée.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Modélisation amorcée mais incomplète ou partiellement inexacte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Situation correctement modélisée (équation, fonction, suite, variable aléatoire...).",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
3,"Modélisation rigoureuse et adaptée, hypothèses et domaine de validité explicités.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Représenter,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Représentations absentes, erronées ou inexploitées (graphique, tableau, arbre, figure dans l'espace...).",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Représentation partiellement correcte ou incomplète.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Représentation correcte et adaptée à la situation.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Représentation précise et rigoureuse, mobilisée à bon escient pour appuyer le raisonnement.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Raisonner,,,,— /5,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Raisonnement absent, incohérent ou contredit par le résultat obtenu.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Raisonnement engagé mais lacunaire, plusieurs étapes non justifiées ou logique défaillante.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"3,5","Raisonnement globalement cohérent et justifié, quelques imprécisions possibles.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
5,"Raisonnement rigoureux et complet, démonstration bien conduite, résultats validés avec méthode.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Calculer,,,,— /5,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Calculs faux ou méthode inadaptée ; résultats incohérents avec le contexte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Calculs partiellement corrects, erreurs de méthode ou de technique.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"3,5","Calculs corrects dans l'ensemble, méthode adaptée, résultat cohérent, quelques erreurs isolées possibles.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
5,"Calculs exacts et maîtrisés (dérivation, intégration, algèbre, probabilités...), méthode efficace et résultat vérifié.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Communiquer,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Rédaction absente ou incompréhensible ; résultat donné sans justification écrite.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Explications présentes mais formulation imprécise, notations mathématiques fautives.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Rédaction claire, notations et vocabulaire mathématiques corrects.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Rédaction rigoureuse et bien structurée, notations précises, résultats clairement mis en évidence et interprétés dans le contexte du problème.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES AU CORRECTEUR — hors barème,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Questions à prise d'initiative — traitement spécifique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"•  Ces questions n'imposent pas de méthode : le candidat doit construire seul sa démarche. Toute trace de recherche cohérente est valorisée, même si la démarche n'aboutit pas à un résultat correct ou complet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"•  Ne pas exiger la solution experte : une méthode plus longue mais juste, ou une approche par essais/conjecture correctement exploitée, doit être valorisée au même titre qu'une méthode optimale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
•  Une réponse juste sans démarche visible ne peut pas obtenir la totalité des points ; une démarche pertinente non aboutie doit être mieux valorisée qu'une absence totale de recherche.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"💡 À adapter par exercice — Le sujet comporte 4 exercices indépendants pour un total de 20 points, chacun avec un barème propre selon les notions testées (environ 4 à 7 points par exercice). Dupliquez cette grille par compétence (Chercher, Modéliser, Représenter, Raisonner, Calculer, Communiquer) pour chaque exercice du bac blanc, en réajustant les points maximum de chaque compétence pour qu'ils totalisent le barème réel de l'exercice (les valeurs ci-dessus — 3/3/2/5/5/2 — sont une répartition indicative par défaut, qui accentue le poids du raisonnement et du calcul par rapport à l'épreuve de première).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"⚠️ IMPORTANT — Comme pour l'épreuve de première, le contenu mathématique des exercices change à chaque sujet de bac blanc : cette grille propose un cadre de compétences stable (le référentiel national chercher / modéliser / représenter / raisonner / calculer / communiquer) mais les points par compétence doivent être réajustés par le correcteur en fonction du barème réel de chaque exercice proposé, en particulier pour les questions à prise d'initiative.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE QUI A CHANGÉ PAR RAPPORT À LA V0 (forme seulement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aucun point n'a été modifié : chaque critère garde exactement son barème.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La zone de correction (nom de l'élève, « niveau ? », commentaire) a été ajoutée : la V0 était un barème seul, sans rien à cocher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 paliers écrits en fourchette (« 0–0,5 ») ont été ouverts en deux lignes : un vrai 0, puis la valeur haute avec son descripteur d'origine. Sans cela aucun critère ne pouvait valoir 0. Les descripteurs de niveau 0 sont en gris : à relire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
