NE PAS TOUCHER,,,,,,Elèves,,,,,
BARÈME DE CORRECTION — SES TERMINALE — BACCALAURÉAT,,,,,,timothé 1,,timothé 2,,timothé 3,
"1,5","Introduction très maîtrisée, concise et directement utile à la démonstration.",,,,,FALSE,,FALSE,,FALSE,
2. Conclusion,,,,"— /1,5",,FALSE,,FALSE,,FALSE,
Attendus,Bilan de la démonstration ; réponse explicite et nuancée à la problématique ; ouverture uniquement si elle est pertinente. Une ouverture artificielle ne doit pas être valorisée.,,,,,FALSE,,FALSE,,FALSE,
"0–0,5","Conclusion absente, très faible ou sans réponse au sujet.",,,,,FALSE,,FALSE,,FALSE,
"0,75",Bilan présent mais réponse partielle ou peu précise.,,,,,FALSE,,FALSE,,FALSE,
1,Réponse claire à la problématique et bilan correct.,,,,,FALSE,,FALSE,,FALSE,
"1,5","Réponse précise, synthétique et cohérente avec toute la démonstration.",,,,,FALSE,,FALSE,,FALSE,
E. Expression et présentation,,,,— /2,,FALSE,,FALSE,,FALSE,
1. Qualité rédactionnelle,,,,"— /1,5",,FALSE,,FALSE,,FALSE,
Évaluer,Syntaxe ; grammaire ; orthographe ; précision du vocabulaire économique et sociologique ; clarté des formulations ; ponctuation. La qualité rédactionnelle est prise en compte dans la notation des épreuves terminales.,,,,,FALSE,,FALSE,,FALSE,
"0–0,5",Expression souvent incorrecte ou difficilement compréhensible.,,,,,FALSE,,FALSE,,FALSE,
"0,75",Expression compréhensible mais plusieurs maladresses ou erreurs.,,,,,FALSE,,FALSE,,FALSE,
1,Expression correcte et vocabulaire disciplinaire globalement maîtrisé.,,,,,FALSE,,FALSE,,FALSE,
"1,5","Expression claire, précise, fluide et rigoureuse.",,,,,FALSE,,FALSE,,FALSE,
2. Présentation,,,,"— /0,5",,FALSE,,FALSE,,FALSE,
Attendus,Lisibilité ; paragraphes ; séparation claire des parties ; copie permettant au correcteur de suivre le raisonnement. La présentation facilite l'évaluation mais ne compense pas un fond insuffisant.,,,,,FALSE,,FALSE,,FALSE,
,,,,,,FALSE,,FALSE,,FALSE,
PARTIE II — ÉPREUVE COMPOSÉE,,,,20 points,,FALSE,,FALSE,,FALSE,
Structure nationale : 4 points + 6 points + 10 points. La partie 1 repose uniquement sur les connaissances ; la partie 2 porte sur l'étude d'un document statistique ; la partie 3 demande un raisonnement appuyé sur un dossier documentaire et les connaissances personnelles.,,,,,,FALSE,,FALSE,,FALSE,
,,,,,,FALSE,,FALSE,,FALSE,
A. Partie 1 — Mobilisation des connaissances,,,,— /4,,FALSE,,FALSE,,FALSE,
0–1,Réponse très incomplète ; notions mal maîtrisées ou mécanismes absents.,,,,,FALSE,,FALSE,,FALSE,
"1,5–2",Quelques connaissances pertinentes ; explication partielle.,,,,,FALSE,,FALSE,,FALSE,
"2,5–3",Réponse correcte et structurée ; notions et mécanismes bien mobilisés.,,,,,FALSE,,FALSE,,FALSE,
"3,5","Très bonne réponse ; connaissances précises, mécanismes clairement expliqués.",,,,,FALSE,,FALSE,,FALSE,
4,"Réponse complète et rigoureuse : notions définies, mécanismes expliqués, argumentation ordonnée et exemples pertinents lorsque nécessaires.",,,,,FALSE,,FALSE,,FALSE,
À valoriser,"Réponse directement centrée sur la question ; définitions exactes ; mécanismes causaux explicités ; exemples ou données lorsque la question les appelle. La réponse doit mobiliser les connaissances, pas réciter un chapitre entier.",,,,,FALSE,,FALSE,,FALSE,
,,,,,,FALSE,,FALSE,,FALSE,
B. Partie 2 — Étude d'un document,,,,— /6,,FALSE,,FALSE,,FALSE,
1. Lecture et interprétation des données,,,,— /2,,FALSE,,FALSE,,FALSE,
"0–0,5",Lecture erronée ou absence d'utilisation des données.,,,,,FALSE,,FALSE,,FALSE,
1,Lecture correcte mais incomplète ; quelques données pertinentes.,,,,,FALSE,,FALSE,,FALSE,
"1,5",Données correctement lues et comparées ; calculs nécessaires maîtrisés.,,,,,FALSE,,FALSE,,FALSE,
2,"Réponse précise et rigoureuse : unités, périodes, grandeurs et évolutions correctement interprétées ; calculs pertinents.",,,,,FALSE,,FALSE,,FALSE,
2. Analyse à l'aide du document et des connaissances,,,,— /4,,FALSE,,FALSE,,FALSE,
0–1,Réponse très générale ; document peu exploité et connaissances insuffisantes.,,,,,FALSE,,FALSE,,FALSE,
2,Document exploité mais connaissances ou mécanismes encore limités.,,,,,FALSE,,FALSE,,FALSE,
3,Document et connaissances correctement articulés ; réponse argumentée.,,,,,FALSE,,FALSE,,FALSE,
4,"Analyse complète : données précisément mobilisées, mécanismes expliqués et connaissances personnelles pertinentes ; aucune paraphrase.",,,,,FALSE,,FALSE,,FALSE,
,,,,,,FALSE,,FALSE,,FALSE,
C. Partie 3 — Raisonnement s'appuyant sur un dossier documentaire,,,,— /10,,FALSE,,FALSE,,FALSE,
1. Compréhension et traitement du sujet,,,,"— /1,5",,FALSE,,FALSE,,FALSE,
"0–0,5",Sujet mal compris ou réponse partiellement hors sujet.,,,,,FALSE,,FALSE,,FALSE,
"0,75",Sujet compris mais problématique ou angle de traitement peu clair.,,,,,FALSE,,FALSE,,FALSE,
1,Sujet correctement analysé et réponse centrée sur la question.,,,,,FALSE,,FALSE,,FALSE,
"1,5",Sujet parfaitement compris ; problématique/fil directeur pertinent et démonstration constamment centrée.,,,,,FALSE,,FALSE,,FALSE,
2. Mobilisation des connaissances,,,,"— /2,5",,FALSE,,FALSE,,FALSE,
"0–0,5",Connaissances très faibles ou erreurs importantes.,,,,,FALSE,,FALSE,,FALSE,
1,Connaissances correctes mais limitées.,,,,,FALSE,,FALSE,,FALSE,
"1,5",Connaissances solides et pertinentes.,,,,,FALSE,,FALSE,,FALSE,
2,Connaissances nombreuses et bien reliées aux arguments.,,,,,FALSE,,FALSE,,FALSE,
"2,5","Maîtrise excellente : notions, mécanismes, données et exemples précis, directement utiles au raisonnement.",,,,,FALSE,,FALSE,,FALSE,
3. Exploitation du dossier documentaire,,,,— /2,,FALSE,,FALSE,,FALSE,
"0–0,5","Documents ignorés, cités sans exploitation ou paraphrasés.",,,,,FALSE,,FALSE,,FALSE,
1,Quelques documents correctement mobilisés.,,,,,FALSE,,FALSE,,FALSE,
"1,5",Documents sélectionnés et utilisés comme preuves à l'appui des arguments.,,,,,FALSE,,FALSE,,FALSE,
2,"Dossier pleinement exploité : données/informations hiérarchisées, précises et intégrées au raisonnement sans commentaire systématique.",,,,,FALSE,,FALSE,,FALSE,
4. Construction du raisonnement,,,,"— /2,5",,FALSE,,FALSE,,FALSE,
"0–0,5",Juxtaposition d'informations ; absence de démonstration.,,,,,FALSE,,FALSE,,FALSE,
1,Raisonnement présent mais irrégulier.,,,,,FALSE,,FALSE,,FALSE,
"1,5",Argumentation claire ; idées et mécanismes correctement articulés.,,,,,FALSE,,FALSE,,FALSE,
2,Démonstration solide ; arguments hiérarchisés et exemples/données bien exploités.,,,,,FALSE,,FALSE,,FALSE,
"2,5",Raisonnement particulièrement maîtrisé : chaque argument répond au sujet et articule connaissances + documents + mécanismes.,,,,,FALSE,,FALSE,,FALSE,
"5. Maîtrise de l'exercice, rédaction et présentation",,,,"— /1,5",,FALSE,,FALSE,,FALSE,
Attendus,Introduction qui présente le sujet et le fil directeur ; développement organisé en paragraphes ; conclusion apportant une réponse ; expression claire et rigoureuse ; vocabulaire disciplinaire ; lisibilité et présentation soignée.,,,,,FALSE,,FALSE,,FALSE,
"0–0,5",Organisation et expression très insuffisantes.,,,,,FALSE,,FALSE,,FALSE,
"0,75",Structure identifiable mais rédaction ou présentation irrégulière.,,,,,FALSE,,FALSE,,FALSE,
1,"Réponse structurée, lisible et correctement rédigée.",,,,,FALSE,,FALSE,,FALSE,
"1,5","Réponse très claire, structurée, rigoureuse et agréable à suivre.",,,,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,
BARÈME SYNTHÉTIQUE,,,,,,,,,,,
Exercice,Critère,Points,Nature de l'attendu,,,,,,,,
Dissertation,Compréhension et traitement du sujet,4,"Analyse du sujet, problématique, réponse au sujet",,,,,,,,
Dissertation,Maîtrise des connaissances,5,"Notions, mécanismes, données, exemples, pertinence des connaissances",,,,,,,,
Dissertation,Construction du raisonnement,6,"Plan, argumentation, mécanismes, transitions",,,,,,,,
Dissertation,Maîtrise de l'exercice,3,Introduction et conclusion,,,,,,,,
Dissertation,Expression et présentation,2,Qualité rédactionnelle et lisibilité,,,,,,,,
Épreuve composée,Partie 1 — Mobilisation des connaissances,4,"Connaissances personnelles, notions et mécanismes",,,,,,,,
Épreuve composée,Partie 2 — Étude d'un document,6,Lecture/interprétation des données + analyse avec connaissances,,,,,,,,
Épreuve composée,Partie 3 — Raisonnement dossier documentaire,10,"Sujet, connaissances, documents, raisonnement, rédaction",,,,,,,,
,,,,,,,,,,,
⚠️ Point important : le baccalauréat utilise des éléments d'évaluation nationaux associés à chaque sujet. Cette grille est volontairement plus fine pour permettre une correction homogène et formative ; elle ne doit pas être présentée comme le barème national officiel sous-critère par sous-critère.,,,,,,,,,,,
