NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — PHILOSOPHIE TERMINALE — BACCALAURÉAT,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
"1,5",Termes et notions précisément distingués ; tensions conceptuelles identifiées.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Analyse fine du sujet : définition des concepts, distinctions pertinentes, présupposés et enjeux clairement dégagés.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Problématisation,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Pas de véritable problème ; simple reformulation ou réponse immédiate.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Questionnement présent mais tension philosophique encore faible.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Problème clairement construit à partir d'une difficulté réelle du sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Problématisation rigoureuse : paradoxe/tension explicité, enjeux identifiés et question directrice véritablement philosophique.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Délimitation et traitement du sujet,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Hors-sujet ou traitement très partiel.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Sujet globalement traité mais avec des dérives ou généralisations.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Traitement constamment centré sur les termes et enjeux du sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Sujet parfaitement maîtrisé : aucune digression ; chaque étape répond à la question posée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Argumentation et raisonnement philosophique,,,,— /6,,,,,,,,,,,,,,,,,,,,,,,,,
1. Construction de la démonstration,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Juxtaposition d'idées, d'opinions ou de références ; absence de progression.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Raisonnement identifiable mais transitions ou enchaînements insuffisants.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Argumentation cohérente et progressive ; chaque partie apporte une étape du raisonnement.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Démonstration rigoureuse : progression nécessaire, objections examinées et dépassements justifiés.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Analyse des concepts et distinctions,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Concepts employés sans définition ou de manière interchangeable.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Quelques définitions et distinctions pertinentes mais inégalement exploitées.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Concepts précisément analysés ; distinctions utiles au raisonnement.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Travail conceptuel approfondi : définitions opératoires, distinctions rigoureuses et évolution maîtrisée du sens des termes.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Discussion des thèses et des arguments,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Affirmations non justifiées ; thèses simplement juxtaposées.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Arguments présents mais discussion limitée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Thèses examinées, objections prises en compte et réponses argumentées.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Véritable dialogue de la réflexion avec elle-même : examen critique des arguments, objections sérieuses et réponses justifiées.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Exemples et expériences de pensée,,,,"— /0,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Exemples absents, anecdotiques ou sans fonction argumentative.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Quelques exemples pertinents mais peu analysés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Exemples précisément étudiés, utilisés comme instruments de réflexion et non comme simple illustration.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Culture philosophique et références,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
1. Mobilisation des auteurs et doctrines,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Références absentes, erronées ou plaquées.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Références pertinentes mais doctrine ou argument insuffisamment expliqué.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Auteurs et thèses correctement mobilisés au service du sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Références précises et diversifiées, expliquées et intégrées organiquement à la démonstration.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Pertinence de la culture philosophique,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Accumulation de noms ou citations sans fonction philosophique.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Quelques références utiles mais traitement superficiel.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Culture philosophique solide et pertinente.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Culture philosophique mobilisée avec discernement : les références éclairent réellement le problème, les concepts et les arguments.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Maîtrise de l'exercice et composition,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
1. Introduction,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Introduction très lacunaire : sujet mal posé ou problème absent.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Introduction correcte mais problématisation ou annonce de la démarche insuffisante.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Introduction structurée : analyse du sujet, problème et orientation de la réflexion.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Introduction très maîtrisée : elle construit véritablement le problème et donne une nécessité au développement.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Développement et transitions,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Développement désordonné ou simplement descriptif.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Organisation identifiable mais progression irrégulière.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75","Paragraphes structurés, transitions logiques et progression cohérente.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Composition très rigoureuse : chaque partie constitue une étape nécessaire de la réflexion.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Conclusion,,,,"— /0,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absente ou ne répond pas au problème.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Bilan présent mais réponse vague ou insuffisamment justifiée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Conclusion synthétique, répondant explicitement et philosophiquement au problème construit.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Expression et présentation,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
1. Clarté et correction de l'expression,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Expression souvent incorrecte ou difficilement compréhensible.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Expression globalement compréhensible mais maladroite ou imprécise.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Expression claire et correcte ; vocabulaire philosophique maîtrisé.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Expression très claire, précise et rigoureuse ; formulations philosophiques maîtrisées.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Présentation et lisibilité,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Copie difficile à lire ou très mal organisée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Présentation correcte mais parfois confuse.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75","Copie lisible, paragraphes et structure clairement identifiables.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Présentation particulièrement claire : elle rend immédiatement visible la progression du raisonnement.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTIE II — EXPLICATION DE TEXTE,,,,20 points,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Compréhension globale et détermination du problème,,,,— /4,,,,,,,,,,,,,,,,,,,,,,,,,
1. Problème philosophique du texte,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Problème absent ou contresens sur le texte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Question générale identifiée mais problème encore approximatif.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Problème clairement formulé à partir de la démarche de l'auteur.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Détermination précise du problème : question, difficulté et enjeu du texte clairement reconstruits.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Thèse et position de l'auteur,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Thèse non identifiée ou attribuée à tort à l'auteur.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Thèse générale comprise mais formulation imprécise.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Thèse correctement formulée et reliée au problème.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Position philosophique précisément caractérisée, avec ses conditions, nuances et portée.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Explication précise et linéaire du texte,,,,— /7,,,,,,,,,,,,,,,,,,,,,,,,,
1. Explication des éléments signifiants,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Paraphrase, répétition du texte ou explication très lacunaire.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Éléments importants expliqués mais plusieurs passages restent superficiels.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Explication précise des concepts, propositions et formulations essentielles.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"2,5",Attention soutenue au détail du texte ; concepts et formulations expliqués avec précision.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
3,"Explication fine et exhaustive des éléments signifiants, sans paraphrase ni contresens.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Articulations logiques et structure du texte,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Structure du raisonnement non identifiée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Quelques étapes du raisonnement repérées mais liens insuffisamment expliqués.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Articulations logiques correctement identifiées et explicitées.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Cheminement rigoureux : chaque étape, transition, opposition, implication ou conséquence est mise en évidence.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Reconstruction du raisonnement,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Suite d'explications isolées sans reconstruction de la démarche.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Raisonnement globalement compris mais reconstruction incomplète.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Arguments et étapes correctement reconstruits.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Démonstration de l'auteur reconstruite avec précision : raisons, objections, présupposés et conclusions clairement reliés.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Analyse philosophique et mise en perspective,,,,— /4,,,,,,,,,,,,,,,,,,,,,,,,,
1. Analyse conceptuelle,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Concepts simplement répétés ou définis de façon extérieure au texte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Quelques concepts analysés correctement.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Concepts et distinctions du texte précisément expliqués.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,Analyse conceptuelle fine : le sens des notions est reconstruit à partir du texte et de ses articulations.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
